hour,option_1,option_2,option_3,option_4
0,HC,HC,HC,HP
1,HC,HC,HC,HC
2,HC,HC,HC,HC
3,HC,HC,HC,HC
4,HC,HC,HC,HC
5,HC,HC,HC,HC
6,HP,HC,HC,HC
7,HP,HP,HC,HP
8,HP,HP,HP,HP
9,HP,HP,HP,HP
10,HP,HP,HP,HP
11,HP,HP,HP,HP
12,HP,HP,HP,HP
13,HP,HP,HP,HC
14,HP,HP,HP,HC
15,HP,HP,HP,HC
16,HP,HP,HP,HC
17,HP,HP,HP,HP
18,HP,HP,HP,HP
19,HP,HP,HP,HP
20,HP,HP,HP,HP
21,HP,HP,HP,HP
22,HC,HP,HP,HP
23,HC,HC,HP,HP
