# SOURMASH-MANIFEST-VERSION: 1.0
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
Bu5.k51.s100_000.sig.zip,dae55ba67e78007bbaac105261c33aac,dae55ba6,51,DNA,0,100000,24770,False,Bu5,
ERR1395610.k51.s100_000.sig.zip,9768106214fbb9ca91a3f53b83897cbc,97681062,51,DNA,0,100000,125792,True,ERR1395610,
ERR2245457.k51.s100_000.sig.zip,592fa4c1b7191fbda65446e1cf2490a1,592fa4c1,51,DNA,0,100000,38248,True,ERR2245457,-
ERR2592340.k51.s100_000.sig.zip,73ce439eb1e32455405e22703318a539,73ce439e,51,DNA,0,100000,35490,True,ERR2592340,-
SRR12324253.k51.s100_000.sig.zip,0c0fdeac7f867a1834f1613edc5441a1,0c0fdeac,51,DNA,0,100000,4971,True,SRR12324253,outputs.paper/trim/SRR12324253.trim.fq.gz
SRR1976948.k51.s100_000.sig.zip,b07d7df22b3351bdfc10756b9ea732d0,b07d7df2,51,DNA,0,100000,4651,True,SRR1976948,outputs.paper/trim/SRR1976948.trim.fq.gz
SRR5650070.k51.s100_000.sig.zip,fe59927112c79e26789dd30151c8fca0,fe599271,51,DNA,0,100000,2802,True,SRR5650070,outputs.paper/trim/SRR5650070.trim.fq.gz
SRR606249.k51.s100_000.sig.zip,ee6adb3e480e75c192633ca703c5fa30,ee6adb3e,51,DNA,0,100000,4448,True,SRR606249,outputs.paper/trim/SRR606249.trim.fq.gz
